Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,¦Ó,DL,G,L,Ni3Al_fraction,creep_life
59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,1093,138,37.57656855,1.74619E-21,68.76902374,0.3464956,0.62058,30
65.146,3.1,7.5,5.9,1.5,0,3.65,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1148,90,43.30986107,1.49858E-20,68.17931438,0.350598062,0.66771,30
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,54.58668117,1.90001E-20,57.12318058,0.358196063,0.69541,30.2
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,1093,138,51.08050632,2.10257E-20,56.62637804,0.356976215,0.67151,31.6
62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,1285,1080,870,982,248.4,35.49677646,1.84624E-21,67.93567204,0.354778067,0.68724,33
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,871,552,54.58668117,1.90001E-20,57.12318058,0.358196063,0.69541,35.1
63.896,6,7.5,6.4,0,2,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,57.35932096,4.23318E-20,67.19061333,0.354305558,0.6548,35.4
64.2945,3,7.5,6.5,0,3,1.5,8,6,0.05,0.004,0.0015,0,0.15,2,4,16,1307,1080,898,1148,90,51.08050632,2.10257E-20,56.62637804,0.356976215,0.67151,39.2
62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,1285,1080,870,871,517.5,35.49677646,1.84624E-21,67.93567204,0.354778067,0.68724,40
64.896,3,7.5,6.5,1,3,0.5,5,8,0.004,0.05,0.05,0,0.5,2,4,16,1307,1080,898,1093,138,46.52361208,1.38573E-20,68.44773947,0.355800306,0.77561,42.3
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,48.05112716,1.18865E-20,68.04099076,0.350798409,0.65488,42.8
64.046,3,7.5,6.2,0,5,1.5,6,6.5,0.004,0.05,0.05,0,0.15,2,4,16,1307,1080,898,1093,138,52.36051372,1.07374E-20,66.98653174,0.350161782,0.68482,43.1
74.781,3,0,7.5,0,4,1.5,7,2,0.05,0.004,0.015,0,0.15,2,4,16,1307,1080,898,871,552,58.97477103,1.75771E-20,65.81385731,0.354081578,0.90197,43.5
60.996,4.5,7.5,5.8,5,0,3,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,119.4323446,0.001309842,61.51446034,0.362381138,0.84633,43.8
64.396,4.5,7.5,6.4,0,0,3,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,50.12758446,2.12559E-20,67.05120815,0.35055696,0.66368,44.1
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,982,276,42.38253968,1.44762E-20,57.36099925,0.354283439,0.67653,44.5
62.646,3,7.5,5.75,1.5,5.9,0.5,8,5,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,42.38253968,1.44762E-20,57.36099925,0.354283439,0.67653,45.5
63.396,4.5,7.5,6.4,0,4,0,8,6,0.05,0.004,0,0,0.15,2,4,16,1307,1080,898,1093,138,52.34005683,2.46298E-20,66.99594077,0.353319429,0.66651,46
65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,52.39164028,1.4047E-20,67.54757854,0.351103718,0.74841,46.3
62.281,3,10,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1148,90,48.05112716,1.18865E-20,68.04099076,0.350798409,0.65488,47.1
64.781,3,7.5,6.5,0.5,3,1.5,5,8,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,1093,138,52.39164028,1.4047E-20,67.54757854,0.351103718,0.74841,47.6
65.081,3,7.5,6.2,0,5,1.5,5,6.5,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,54.89174525,1.11927E-20,67.78901681,0.35265877,0.6935,48.7
67.281,3,5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,54.58668117,1.90001E-20,57.12318058,0.358196063,0.69541,49.1
62.6957,0,7.5,4.2,3.5,6,1.5,9.7,4.7,0.05,0.0043,0,0,0.15,2,4,16,1265,1079,899,982,179.4,38.77110825,6.3561E-21,68.70685163,0.348886846,0.58703,50
64.781,3,7.5,6,1,3,1.5,7,6,0.004,0.05,0.015,0,0.15,2,4,16,1307,1080,898,982,276,51.29536194,1.17883E-20,56.99072314,0.354400933,0.67757,51.4
71.946,2,0,5.8,1.5,4,2.5,7,5,0.05,0.004,0.05,0,0.15,2,4,16,1307,1080,898,982,276,46.70961327,1.35551E-20,67.04046162,0.355040956,0.73665,51.6
